session_id,label,label_confidence,local_time,timestamp_ms,side,device_id,sync_id,packet_seq,p1,p2,p3,p4,p5,p6,t1,t2,t3,t4,ax,ay,az,gx,gy,gz,quality_flags,source
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:03.192+08:00,1786712883192,left,foot_left_001,2402087,343629823,0.0198,0.0,0.0,0.001,0.0,0.032,30.47,29.81,29.96,29.61,-5.28578435,1.95152335,-6.894074949999999,0.7,1.4,3.1,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:03.390+08:00,1786712883390,right,foot_right_001,2402087,343629824,0.0039,0.0,0.0002,0.0,0.0298,0.0381,30.36,32.33,23.4,32.09,3.9030467,4.158019599999999,-6.73716855,-6.3,-0.1,-0.5,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:03.392+08:00,1786712883392,left,foot_left_001,2402087,343629824,0.0056,0.0,0.0,0.0,0.0,0.0579,30.67,30.04,30.1,29.96,-5.20733115,1.9122967499999999,-6.9234949,0.7,0.6,2.2,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:03.590+08:00,1786712883590,right,foot_right_001,2402087,343629825,0.0022,0.0,0.0,0.0,0.0269,0.042,30.3,32.33,23.4,32.15,3.87362675,4.1384063,-6.7469752,-8.7,-0.9,-2.0,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:03.592+08:00,1786712883592,left,foot_left_001,2402087,343629825,0.002,0.0,0.0,0.0,0.0,0.0806,30.82,30.13,30.24,30.21,-5.1582979,2.0103632499999997,-6.8450416999999995,-1.2,0.1,2.9,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:03.790+08:00,1786712883790,right,foot_right_001,2402087,343629826,0.0,0.0,0.0,0.0,0.0247,0.0545,30.38,32.39,23.51,32.27,3.5794272499999997,4.18743955,-6.6292954,-2.6,-1.7,-0.7,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:03.792+08:00,1786712883792,left,foot_left_001,2402087,343629826,0.0,0.0,0.0,0.0,0.0,0.0733,30.96,30.21,30.53,30.53,-5.1190713,2.1280430499999996,-6.894074949999999,1.6,1.4,4.1,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:03.990+08:00,1786712883990,right,foot_right_001,2402087,343629827,0.0122,0.0,0.0,0.0,0.0239,0.0474,30.41,32.45,23.51,32.3,3.9422732999999996,4.0011132,-6.776395149999999,-5.4,-0.3,0.2,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:03.992+08:00,1786712883992,left,foot_left_001,2402087,343629827,0.0,0.0,0.0,0.0,0.002,0.0569,31.08,30.24,30.67,30.73,-5.0210048,1.5004174499999998,-7.07059465,-0.8,-3.9,4.1,0,ble
person_a_session_01,exclude_prebaseline,exclude,2026-08-14T21:08:04.190+08:00,1786712884190,right,foot_right_001,2402087,343629828,0.0188,0.0,0.0012,0.0,0.0085,0.0215,30.41,32.45,23.43,32.33,3.8932400499999997,3.9030467,-6.776395149999999,-7.1,-0.1,-0.4,0,ble
